Date;Day;Action;Protester;State/target;Agent;Event;Country;Location;Issue;Link date;Time ;# Protesters;Arrests;Injuries;Deaths;Prop. Damage;# State;Injuries;State killed;OSD;Source;Story date;No event found
25/03/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
26/03/1993;Fri;vigil;citizens;PIRA;;hold vigil during funeral in Warrington, UK;Ireland;Dublin;anti-PIRA;;;200;0;0;0;N;0;0;0;800000;Reuters;26/03/1993;
26/03/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
27/03/1993;Sat;rally;citizens;PIRA;;anti-PIRA rally at Trinity College;Ireland;Dublin;anti-PIRA;;19:00;1500;0;0;0;N;0;0;0;800000;Times (London);29/03/1993;
27/03/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
28/03/1993;Sun;demonstration;citizens;PIRA;;against Warrington, UK bombing by PIRA;Ireland;Dublin;anti-PIRA;;2 hours;15000;0;0;0;N;0;0;0;800000;Reuters;28/03/1993;
29/03/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
30/03/1993;Tue;strike;teachers;government;;school strike for more funding;Ireland;Kilavullen;school funding;;;101;0;0;0;N;0;0;0;678827;Irish Times;31/03/1993;
30/03/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
31/03/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
01/04/1993;Thu;symbolic;communication workers;PIRA;;wear black ribbons against terror;Ireland;Ireland;anti-PIRA;;;8000;0;0;0;N;0;0;0;800000;Irish Times;01/04/1993;
01/04/1993;Thu;vigil;Peace Train;PIRA;;vigil during funeral of another child killed;Ireland;Dublin;anti-PIRA;20/03/1993;;101;0;0;0;N;0;0;0;800000;Irish Times;01/04/1993;
01/04/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
02/04/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
03/04/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
04/04/1993;Sun;demonstration;Peace '93;PIRA;;rally against terror;Ireland;Ireland;anti-PIRA;20/03/1993;;3001;0;0;0;N;0;0;0;800000;Xinhau;04/04/1993;
04/04/1993;Sun;arrest;PIRA;government;police;arrest wanted PIRA suspect;Ireland;Nenagh;terror;;;1;1;0;0;N;8;0;0;26731;Reuters;04/04/1993;
05/04/1993;Mon;trial;PIRA;government;court;charge suspect with weapons possession;Ireland;Dublin;terror;04/04/1993;;1;1;0;0;N;0;0;0;26731;The Herald;06/04/1993;
05/04/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
06/04/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
07/04/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
08/04/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
09/04/1993;Fri;arrest;PIRA;government;police;arrest wanted PIRA suspect;Ireland;Dublin;terror;;;1;1;0;0;N;8;0;0;26731;Reuters;09/04/1993;
09/04/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
10/04/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
11/04/1993;Sun;;;;;;;;;;;;;;;;;;;;;;no event
12/04/1993;Mon;robbery;INLA;firm;Cuckoo's Nest;rob a pub;Ireland;Dublin;Irish unity;;;4;4;0;0;N;3;0;0;26731;Irish Times;29/07/1993;
12/04/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
13/04/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
14/04/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
15/04/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
16/04/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
17/04/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
18/04/1993;Sun;;;;;;;;;;;;;;;;;;;;;;no event
19/04/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
20/04/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
21/04/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
22/04/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
23/04/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
24/04/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
25/04/1993;Sun;;;;;;;;;;;;;;;;;;;;;;no event
26/04/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
